Province/State,Country/Region,Lat,Long,days_since,Deaths,Recovered,Confirmed
NA_Mauritania,Mauritania,21.0079,10.9408,1,0,0,0.0
NA_Mauritius,Mauritius,-20.2,57.5,1,0,0,0.0
NA_Mexico,Mexico,23.6345,-102.5528,1,0,0,0.0
NA_Moldova,Moldova,47.4116,28.3699,1,0,0,0.0
NA_Monaco,Monaco,43.7333,7.4167,1,0,0,0.0
NA_Mongolia,Mongolia,46.8625,103.8467,1,0,0,0.0
NA_Montenegro,Montenegro,42.5,19.3,1,0,0,0.0
NA_Morocco,Morocco,31.7917,-7.0926,1,0,0,0.0
NA_Namibia,Namibia,-22.9576,18.4904,1,0,0,0.0
NA_Nepal,Nepal,28.1667,84.25,1,0,0,0.4
Aruba,Netherlands,12.5186,-70.0358,1,0,0,0.0
Curacao,Netherlands,12.1696,-68.99,1,0,0,0.0
Sint Maarten,Netherlands,18.0425,-63.0548,1,0,0,0.0
NA_Netherlands,Netherlands,52.1326,5.2913,1,0,0,0.0
NA_New Zealand,New Zealand,-40.9006,174.886,1,0,0,0.0
NA_Nicaragua,Nicaragua,12.8654,-85.2072,1,0,0,0.0
NA_Niger,Niger,17.6078,8.0817,1,0,0,0.0
NA_Nigeria,Nigeria,9.082,8.6753,1,0,0,0.0
NA_North Macedonia,North Macedonia,41.6086,21.7453,1,0,0,0.0
NA_Norway,Norway,60.472,8.4689,1,0,0,0.0
NA_Oman,Oman,21.0,57.0,1,0,0,0.0
NA_Pakistan,Pakistan,30.3753,69.3451,1,0,0,0.0
NA_Panama,Panama,8.538,-80.7821,1,0,0,0.0
NA_Papua New Guinea,Papua New Guinea,-6.315,143.9555,1,0,0,0.0
NA_Paraguay,Paraguay,-23.4425,-58.4438,1,0,0,0.0
NA_Peru,Peru,-9.19,-75.0152,1,0,0,0.0
NA_Philippines,Philippines,13.0,122.0,1,0,0,0.0
NA_Poland,Poland,51.9194,19.1451,1,0,0,0.0
NA_Portugal,Portugal,39.3999,-8.2245,1,0,0,0.0
NA_Qatar,Qatar,25.3548,51.1839,1,0,0,0.0
NA_Romania,Romania,45.9432,24.9668,1,0,0,0.0
NA_Russia,Russia,60.0,90.0,1,0,0,0.4
NA_Rwanda,Rwanda,-1.9403,29.8739,1,0,0,0.0
NA_Saint Lucia,Saint Lucia,13.9094,-60.9789,1,0,0,0.0
NA_Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,12.9843,-61.2872,1,0,0,0.0
NA_San Marino,San Marino,43.9424,12.4578,1,0,0,0.0
NA_Saudi Arabia,Saudi Arabia,24.0,45.0,1,0,0,0.0
NA_Senegal,Senegal,14.4974,-14.4524,1,0,0,0.0
NA_Serbia,Serbia,44.0165,21.0059,1,0,0,0.0
NA_Seychelles,Seychelles,-4.6796,55.492,1,0,0,0.0
NA_Singapore,Singapore,1.2833,103.8333,1,0,0,2.2
NA_Slovakia,Slovakia,48.669,19.699,1,0,0,0.0
NA_Slovenia,Slovenia,46.1512,14.9955,1,0,0,0.0
NA_Somalia,Somalia,5.1521,46.1996,1,0,0,0.0
NA_South Africa,South Africa,-30.5595,22.9375,1,0,0,0.0
NA_Spain,Spain,40.0,-4.0,1,0,0,0.0
NA_Sri Lanka,Sri Lanka,7.0,81.0,1,0,0,0.0
NA_Sudan,Sudan,12.8628,30.2176,1,0,0,0.0
NA_Suriname,Suriname,3.9193,-56.0278,1,0,0,0.0
NA_Sweden,Sweden,63.0,16.0,1,0,0,0.2
NA_Switzerland,Switzerland,46.8182,8.2275,1,0,0,0.0
NA_Taiwan*,Taiwan*,23.7,121.0,1,0,0,5.4
NA_Tanzania,Tanzania,-6.369,34.8888,1,0,0,0.0
NA_Thailand,Thailand,15.0,101.0,1,0,0,6.8
NA_Togo,Togo,8.6195,0.8248,1,0,0,0.0
NA_Trinidad and Tobago,Trinidad and Tobago,10.6918,-61.2225,1,0,0,0.0
NA_Tunisia,Tunisia,34.0,9.0,1,0,0,0.0
NA_Turkey,Turkey,38.9637,35.2433,1,0,0,0.0
NA_Uganda,Uganda,1.0,32.0,1,0,0,0.0
NA_Ukraine,Ukraine,48.3794,31.1656,1,0,0,0.0
NA_United Arab Emirates,United Arab Emirates,24.0,54.0,1,0,0,0.0
Bermuda,United Kingdom,32.3078,-64.7505,1,0,0,0.0
Cayman Islands,United Kingdom,19.3133,-81.2546,1,0,0,0.0
Channel Islands,United Kingdom,49.3723,-2.3644,1,0,0,0.0
Gibraltar,United Kingdom,36.1408,-5.3536,1,0,0,0.0
Isle of Man,United Kingdom,54.2361,-4.5481,1,0,0,0.0
Montserrat,United Kingdom,16.7425,-62.1874,1,0,0,0.0
NA_United Kingdom,United Kingdom,55.3781,-3.4360000000000004,1,0,0,0.0
NA_Uruguay,Uruguay,-32.5228,-55.7658,1,0,0,0.0
NA_US,US,37.0902,-95.7129,1,0,0,2.8
NA_Uzbekistan,Uzbekistan,41.3775,64.5853,1,0,0,0.0
NA_Venezuela,Venezuela,6.4238,-66.5897,1,0,0,0.0
NA_Vietnam,Vietnam,16.0,108.0,1,0,0,1.6
NA_Zambia,Zambia,-15.4167,28.2833,1,0,0,0.0
NA_Zimbabwe,Zimbabwe,-20.0,30.0,1,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1,0,0,0.0
NA_Dominica,Dominica,15.415,-61.371,1,0,0,0.0
NA_Grenada,Grenada,12.1165,-61.678999999999995,1,0,0,0.0
NA_Mozambique,Mozambique,-18.665695,35.529562,1,0,0,0.0
NA_Syria,Syria,34.802075,38.99681500000001,1,0,0,0.0
NA_Timor-Leste,Timor-Leste,-8.874217,125.727539,1,0,0,0.0
NA_Belize,Belize,13.1939,-59.5432,1,0,0,0.0
NA_Laos,Laos,19.856270000000002,102.495496,1,0,0,0.0
NA_Libya,Libya,26.3351,17.228331,1,0,0,0.0
NA_West Bank and Gaza,West Bank and Gaza,31.9522,35.2332,1,0,0,0.0
NA_Guinea-Bissau,Guinea-Bissau,11.8037,-15.1804,1,0,0,0.0
NA_Mali,Mali,17.570692,-3.996166000000001,1,0,0,0.0
NA_Saint Kitts and Nevis,Saint Kitts and Nevis,17.357822,-62.782998,1,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,1,0,0,0.0
Yukon,Canada,64.2823,-135.0,1,0,0,0.0
NA_Kosovo,Kosovo,42.602636,20.902977,1,0,0,0.0
NA_Burma,Burma,21.9162,95.956,1,0,0,0.0
Anguilla,United Kingdom,18.2206,-63.0686,1,0,0,0.0
British Virgin Islands,United Kingdom,18.4207,-64.64,1,0,0,0.0
Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,1,0,0,0.0
NA_MS Zaandam,MS Zaandam,0.0,0.0,1,0,0,0.0
NA_Botswana,Botswana,-22.3285,24.6849,1,0,0,0.0
NA_Burundi,Burundi,-3.3731,29.9189,1,0,0,0.0
NA_Sierra Leone,Sierra Leone,8.460555000000001,-11.779889,1,0,0,0.0
NA_Malawi,Malawi,-13.254307999999998,34.301525,1,0,0,0.0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,1,0,0,0.0
Saint Pierre and Miquelon,France,46.8852,-56.3159,1,0,0,0.0
NA_South Sudan,South Sudan,6.8770000000000024,31.307,1,0,0,0.0
NA_Western Sahara,Western Sahara,24.2155,-12.8858,1,0,0,0.0
NA_Sao Tome and Principe,Sao Tome and Principe,0.18636,6.613081,1,0,0,0.0
NA_Yemen,Yemen,15.552726999999999,48.516388,1,0,0,0.0
NA_Afghanistan,Afghanistan,33.0,65.0,2,0,0,0.0
NA_Albania,Albania,41.1533,20.1683,2,0,0,0.0
NA_Algeria,Algeria,28.0339,1.6596,2,0,0,0.0
NA_Andorra,Andorra,42.5063,1.5218,2,0,0,0.0
NA_Angola,Angola,-11.2027,17.8739,2,0,0,0.0
NA_Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,2,0,0,0.0
NA_Argentina,Argentina,-38.4161,-63.6167,2,0,0,0.0
NA_Armenia,Armenia,40.0691,45.0382,2,0,0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2,0,0,0.0
New South Wales,Australia,-33.8688,151.2093,2,0,0,1.4
Northern Territory,Australia,-12.4634,130.8456,2,0,0,0.0
Queensland,Australia,-28.0167,153.4,2,0,0,0.2
South Australia,Australia,-34.9285,138.6007,2,0,0,0.0
Tasmania,Australia,-41.4545,145.9707,2,0,0,0.0
Victoria,Australia,-37.8136,144.9631,2,0,0,0.4
Western Australia,Australia,-31.9505,115.8605,2,0,0,0.0
NA_Austria,Austria,47.5162,14.5501,2,0,0,0.0
NA_Azerbaijan,Azerbaijan,40.1431,47.5769,2,0,0,0.0
NA_Bahamas,Bahamas,25.0343,-77.3963,2,0,0,0.0
NA_Bahrain,Bahrain,26.0275,50.55,2,0,0,0.0
NA_Bangladesh,Bangladesh,23.685,90.3563,2,0,0,0.0
NA_Barbados,Barbados,13.1939,-59.5432,2,0,0,0.0
NA_Belarus,Belarus,53.7098,27.9534,2,0,0,0.0
NA_Belgium,Belgium,50.8333,4.0,2,0,0,0.0
NA_Benin,Benin,9.3077,2.3158,2,0,0,0.0
NA_Bhutan,Bhutan,27.5142,90.4336,2,0,0,0.0
NA_Bolivia,Bolivia,-16.2902,-63.5887,2,0,0,0.0
NA_Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,2,0,0,0.0
NA_Brazil,Brazil,-14.235,-51.9253,2,0,0,0.0
NA_Brunei,Brunei,4.5353,114.7277,2,0,0,0.0
NA_Bulgaria,Bulgaria,42.7339,25.4858,2,0,0,0.0
NA_Burkina Faso,Burkina Faso,12.2383,-1.5616,2,0,0,0.0
NA_Cabo Verde,Cabo Verde,16.5388,-23.0418,2,0,0,0.0
NA_Cambodia,Cambodia,11.55,104.9167,2,0,0,0.4
NA_Cameroon,Cameroon,3.8480000000000003,11.5021,2,0,0,0.0
Alberta,Canada,53.9333,-116.5765,2,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,2,0,0,0.2
Grand Princess,Canada,37.6489,-122.6655,2,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,2,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,2,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2,0,0,0.0
Nova Scotia,Canada,44.681999999999995,-63.7443,2,0,0,0.0
Ontario,Canada,51.2538,-85.3232,2,0,0,0.6
Prince Edward Island,Canada,46.5107,-63.4168,2,0,0,0.0
Quebec,Canada,52.9399,-73.5491,2,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2,0,0,0.0
NA_Central African Republic,Central African Republic,6.6111,20.9394,2,0,0,0.0
NA_Chad,Chad,15.4542,18.7322,2,0,0,0.0
NA_Chile,Chile,-35.6751,-71.543,2,0,0,0.0
Anhui,China,31.8257,117.2264,2,0,0,73.2
Beijing,China,40.1824,116.4142,2,0,1,55.6
Chongqing,China,30.0572,107.874,2,0,0,34.8
Fujian,China,26.0789,117.9874,2,0,0,24.6
Gansu,China,37.8099,101.0583,2,0,0,3.0
Guangdong,China,23.3417,113.4244,2,0,2,57.0
Guangxi,China,23.8298,108.7881,2,0,0,26.6
Guizhou,China,26.8154,106.8748,2,0,0,4.0
Hainan,China,19.1959,109.7453,2,0,0,23.6
Hebei,China,39.549,116.1306,2,1,0,5.0
Heilongjiang,China,47.861999999999995,127.7615,2,1,0,11.8
Henan,China,33.882,113.61399999999999,2,0,0,67.0
Hong Kong,China,22.3,114.2,2,0,0,13.8
Hubei,China,30.9756,112.2707,2,24,31,573.6
Hunan,China,27.6104,111.7088,2,0,0,71.8
Inner Mongolia,China,44.0935,113.9448,2,0,0,3.8
Jiangsu,China,32.9711,119.455,2,0,0,13.2
Jiangxi,China,27.614,115.7221,2,0,0,30.2
Jilin,China,43.6661,126.1923,2,0,0,2.8
Liaoning,China,41.2956,122.6085,2,0,0,15.8
Macau,China,22.1667,113.55,2,0,0,2.8
Ningxia,China,37.2692,106.1655,2,0,0,16.4
Qinghai,China,35.7452,95.9956,2,0,0,3.8
Shaanxi,China,35.1917,108.8701,2,0,0,24.0
Shandong,China,36.3427,118.1498,2,0,0,28.8
Shanghai,China,31.201999999999998,121.4491,2,0,0,46.2
Shanxi,China,37.5777,112.2922,2,0,0,6.0
Sichuan,China,30.6171,102.7103,2,0,0,50.4
Tianjin,China,39.3054,117.323,2,0,0,20.2
Tibet,China,31.6927,88.0924,2,0,0,0.0
Xinjiang,China,41.1129,85.2401,2,0,0,2.8
Yunnan,China,24.974,101.48700000000001,2,0,0,44.8
Zhejiang,China,29.1832,120.0934,2,0,1,49.2
NA_Colombia,Colombia,4.5709,-74.2973,2,0,0,0.0
NA_Congo (Brazzaville),Congo (Brazzaville),-4.0383,21.7587,2,0,0,0.0
NA_Congo (Kinshasa),Congo (Kinshasa),-4.0383,21.7587,2,0,0,0.0
NA_Costa Rica,Costa Rica,9.7489,-83.7534,2,0,0,0.0
NA_Cote d'Ivoire,Cote d'Ivoire,7.54,-5.5471,2,0,0,0.0
NA_Croatia,Croatia,45.1,15.2,2,0,0,0.0
NA_Diamond Princess,Diamond Princess,0.0,0.0,2,0,0,0.0
NA_Cuba,Cuba,22.0,-80.0,2,0,0,0.0
NA_Cyprus,Cyprus,35.1264,33.4299,2,0,0,0.0
NA_Czechia,Czechia,49.8175,15.472999999999999,2,0,0,0.0
Faroe Islands,Denmark,61.8926,-6.9118,2,0,0,0.0
Greenland,Denmark,71.7069,-42.6043,2,0,0,0.0
NA_Denmark,Denmark,56.2639,9.5018,2,0,0,0.0
NA_Djibouti,Djibouti,11.8251,42.5903,2,0,0,0.0
NA_Dominican Republic,Dominican Republic,18.7357,-70.1627,2,0,0,0.0
NA_Ecuador,Ecuador,-1.8312,-78.1834,2,0,0,0.0
NA_Egypt,Egypt,26.0,30.0,2,0,0,0.0
NA_El Salvador,El Salvador,13.7942,-88.8965,2,0,0,0.0
NA_Equatorial Guinea,Equatorial Guinea,1.5,10.0,2,0,0,0.0
NA_Eritrea,Eritrea,15.1794,39.7823,2,0,0,0.0
NA_Estonia,Estonia,58.5953,25.0136,2,0,0,0.0
NA_Eswatini,Eswatini,-26.5225,31.4659,2,0,0,0.0
NA_Ethiopia,Ethiopia,9.145,40.4897,2,0,0,0.0
NA_Fiji,Fiji,-17.7134,178.065,2,0,0,0.0
NA_Finland,Finland,64.0,26.0,2,0,0,0.6
French Guiana,France,3.9339,-53.1258,2,0,0,0.0
French Polynesia,France,-17.6797,149.4068,2,0,0,0.0
Guadeloupe,France,16.25,-61.5833,2,0,0,0.0
Mayotte,France,-12.8275,45.1662,2,0,0,0.0
New Caledonia,France,-20.9043,165.618,2,0,0,0.0
Reunion,France,-21.1351,55.2471,2,0,0,0.0
Saint Barthelemy,France,17.9,-62.8333,2,0,0,0.0
St Martin,France,18.0708,-63.0501,2,0,0,0.0
Martinique,France,14.6415,-61.0242,2,0,0,0.0
NA_France,France,46.2276,2.2137,2,0,0,2.4
NA_Gabon,Gabon,-0.8037,11.6094,2,0,0,0.0
NA_Gambia,Gambia,13.4432,-15.3101,2,0,0,0.0
NA_Georgia,Georgia,42.3154,43.3569,2,0,0,0.0
NA_Germany,Germany,51.0,9.0,2,0,0,0.2
NA_Ghana,Ghana,7.9465,-1.0232,2,0,0,0.0
NA_Greece,Greece,39.0742,21.8243,2,0,0,0.0
NA_Guatemala,Guatemala,15.7835,-90.2308,2,0,0,0.0
NA_Guinea,Guinea,9.9456,-9.6966,2,0,0,0.0
NA_Guyana,Guyana,5.0,-58.75,2,0,0,0.0
NA_Haiti,Haiti,18.9712,-72.2852,2,0,0,0.0
NA_Holy See,Holy See,41.9029,12.4534,2,0,0,0.0
NA_Honduras,Honduras,15.2,-86.2419,2,0,0,0.0
NA_Hungary,Hungary,47.1625,19.5033,2,0,0,0.0
NA_Iceland,Iceland,64.9631,-19.0208,2,0,0,0.0
NA_India,India,21.0,78.0,2,0,0,0.0
NA_Indonesia,Indonesia,-0.7893,113.9213,2,0,0,0.0
NA_Iran,Iran,32.0,53.0,2,0,0,0.0
NA_Iraq,Iraq,33.0,44.0,2,0,0,0.0
NA_Ireland,Ireland,53.1424,-7.6921,2,0,0,0.0
NA_Israel,Israel,31.0,35.0,2,0,0,0.0
NA_Italy,Italy,43.0,12.0,2,0,0,0.0
NA_Jamaica,Jamaica,18.1096,-77.2975,2,0,0,0.0
NA_Japan,Japan,36.0,138.0,2,0,0,2.8
NA_Jordan,Jordan,31.24,36.51,2,0,0,0.0
NA_Kazakhstan,Kazakhstan,48.0196,66.9237,2,0,0,0.0
NA_Kenya,Kenya,-0.0236,37.9062,2,0,0,0.0
NA_South Korea,South Korea,36.0,128.0,2,0,0,2.8
NA_Kuwait,Kuwait,29.5,47.75,2,0,0,0.0
NA_Kyrgyzstan,Kyrgyzstan,41.2044,74.7661,2,0,0,0.0
NA_Latvia,Latvia,56.8796,24.6032,2,0,0,0.0
NA_Lebanon,Lebanon,33.8547,35.8623,2,0,0,0.0
NA_Liberia,Liberia,6.4281,-9.4295,2,0,0,0.0
NA_Liechtenstein,Liechtenstein,47.14,9.55,2,0,0,0.0
NA_Lithuania,Lithuania,55.1694,23.8813,2,0,0,0.0
NA_Luxembourg,Luxembourg,49.8153,6.1296,2,0,0,0.0
NA_Madagascar,Madagascar,-18.7669,46.8691,2,0,0,0.0
NA_Malaysia,Malaysia,2.5,112.5,2,0,0,1.4
NA_Maldives,Maldives,3.2028,73.2207,2,0,0,0.0
NA_Malta,Malta,35.9375,14.3754,2,0,0,0.0
NA_Mauritania,Mauritania,21.0079,10.9408,2,0,0,0.0
NA_Mauritius,Mauritius,-20.2,57.5,2,0,0,0.0
NA_Mexico,Mexico,23.6345,-102.5528,2,0,0,0.0
NA_Moldova,Moldova,47.4116,28.3699,2,0,0,0.0
NA_Monaco,Monaco,43.7333,7.4167,2,0,0,0.0
NA_Mongolia,Mongolia,46.8625,103.8467,2,0,0,0.0
NA_Montenegro,Montenegro,42.5,19.3,2,0,0,0.0
NA_Morocco,Morocco,31.7917,-7.0926,2,0,0,0.0
NA_Namibia,Namibia,-22.9576,18.4904,2,0,0,0.0
NA_Nepal,Nepal,28.1667,84.25,2,0,0,0.4
Aruba,Netherlands,12.5186,-70.0358,2,0,0,0.0
Curacao,Netherlands,12.1696,-68.99,2,0,0,0.0
Sint Maarten,Netherlands,18.0425,-63.0548,2,0,0,0.0
NA_Netherlands,Netherlands,52.1326,5.2913,2,0,0,0.0
NA_New Zealand,New Zealand,-40.9006,174.886,2,0,0,0.0
NA_Nicaragua,Nicaragua,12.8654,-85.2072,2,0,0,0.0
NA_Niger,Niger,17.6078,8.0817,2,0,0,0.0
NA_Nigeria,Nigeria,9.082,8.6753,2,0,0,0.0
NA_North Macedonia,North Macedonia,41.6086,21.7453,2,0,0,0.0
NA_Norway,Norway,60.472,8.4689,2,0,0,0.0
NA_Oman,Oman,21.0,57.0,2,0,0,0.0
NA_Pakistan,Pakistan,30.3753,69.3451,2,0,0,0.0
NA_Panama,Panama,8.538,-80.7821,2,0,0,0.0
NA_Papua New Guinea,Papua New Guinea,-6.315,143.9555,2,0,0,0.0
NA_Paraguay,Paraguay,-23.4425,-58.4438,2,0,0,0.0
NA_Peru,Peru,-9.19,-75.0152,2,0,0,0.0
NA_Philippines,Philippines,13.0,122.0,2,0,0,0.0
NA_Poland,Poland,51.9194,19.1451,2,0,0,0.0
NA_Portugal,Portugal,39.3999,-8.2245,2,0,0,0.0
NA_Qatar,Qatar,25.3548,51.1839,2,0,0,0.0
NA_Romania,Romania,45.9432,24.9668,2,0,0,0.0
NA_Russia,Russia,60.0,90.0,2,0,0,0.4
NA_Rwanda,Rwanda,-1.9403,29.8739,2,0,0,0.0
NA_Saint Lucia,Saint Lucia,13.9094,-60.9789,2,0,0,0.0
NA_Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,12.9843,-61.2872,2,0,0,0.0
NA_San Marino,San Marino,43.9424,12.4578,2,0,0,0.0
NA_Saudi Arabia,Saudi Arabia,24.0,45.0,2,0,0,0.0
NA_Senegal,Senegal,14.4974,-14.4524,2,0,0,0.0
NA_Serbia,Serbia,44.0165,21.0059,2,0,0,0.0
NA_Seychelles,Seychelles,-4.6796,55.492,2,0,0,0.0
NA_Singapore,Singapore,1.2833,103.8333,2,0,0,2.2
NA_Slovakia,Slovakia,48.669,19.699,2,0,0,0.0
NA_Slovenia,Slovenia,46.1512,14.9955,2,0,0,0.0
NA_Somalia,Somalia,5.1521,46.1996,2,0,0,0.0
NA_South Africa,South Africa,-30.5595,22.9375,2,0,0,0.0
NA_Spain,Spain,40.0,-4.0,2,0,0,0.0
NA_Sri Lanka,Sri Lanka,7.0,81.0,2,0,0,0.0
NA_Sudan,Sudan,12.8628,30.2176,2,0,0,0.0
NA_Suriname,Suriname,3.9193,-56.0278,2,0,0,0.0
NA_Sweden,Sweden,63.0,16.0,2,0,0,0.2
NA_Switzerland,Switzerland,46.8182,8.2275,2,0,0,0.0
NA_Taiwan*,Taiwan*,23.7,121.0,2,0,0,5.4
NA_Tanzania,Tanzania,-6.369,34.8888,2,0,0,0.0
NA_Thailand,Thailand,15.0,101.0,2,0,0,6.8
NA_Togo,Togo,8.6195,0.8248,2,0,0,0.0
NA_Trinidad and Tobago,Trinidad and Tobago,10.6918,-61.2225,2,0,0,0.0
NA_Tunisia,Tunisia,34.0,9.0,2,0,0,0.0
NA_Turkey,Turkey,38.9637,35.2433,2,0,0,0.0
NA_Uganda,Uganda,1.0,32.0,2,0,0,0.0
NA_Ukraine,Ukraine,48.3794,31.1656,2,0,0,0.0
NA_United Arab Emirates,United Arab Emirates,24.0,54.0,2,0,0,0.0
Bermuda,United Kingdom,32.3078,-64.7505,2,0,0,0.0
Cayman Islands,United Kingdom,19.3133,-81.2546,2,0,0,0.0
Channel Islands,United Kingdom,49.3723,-2.3644,2,0,0,0.0
Gibraltar,United Kingdom,36.1408,-5.3536,2,0,0,0.0
Isle of Man,United Kingdom,54.2361,-4.5481,2,0,0,0.0
Montserrat,United Kingdom,16.7425,-62.1874,2,0,0,0.0
NA_United Kingdom,United Kingdom,55.3781,-3.4360000000000004,2,0,0,0.0
NA_Uruguay,Uruguay,-32.5228,-55.7658,2,0,0,0.0
NA_US,US,37.0902,-95.7129,2,0,0,2.8
NA_Uzbekistan,Uzbekistan,41.3775,64.5853,2,0,0,0.0
NA_Venezuela,Venezuela,6.4238,-66.5897,2,0,0,0.0
NA_Vietnam,Vietnam,16.0,108.0,2,0,0,1.6
NA_Zambia,Zambia,-15.4167,28.2833,2,0,0,0.0
NA_Zimbabwe,Zimbabwe,-20.0,30.0,2,0,0,0.0
Diamond Princess,Canada,0.0,0.0,2,0,0,0.0
NA_Dominica,Dominica,15.415,-61.371,2,0,0,0.0
NA_Grenada,Grenada,12.1165,-61.678999999999995,2,0,0,0.0
NA_Mozambique,Mozambique,-18.665695,35.529562,2,0,0,0.0
NA_Syria,Syria,34.802075,38.99681500000001,2,0,0,0.0
NA_Timor-Leste,Timor-Leste,-8.874217,125.727539,2,0,0,0.0
NA_Belize,Belize,13.1939,-59.5432,2,0,0,0.0
NA_Laos,Laos,19.856270000000002,102.495496,2,0,0,0.0
NA_Libya,Libya,26.3351,17.228331,2,0,0,0.0
NA_West Bank and Gaza,West Bank and Gaza,31.9522,35.2332,2,0,0,0.0
NA_Guinea-Bissau,Guinea-Bissau,11.8037,-15.1804,2,0,0,0.0
NA_Mali,Mali,17.570692,-3.996166000000001,2,0,0,0.0
NA_Saint Kitts and Nevis,Saint Kitts and Nevis,17.357822,-62.782998,2,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,2,0,0,0.0
Yukon,Canada,64.2823,-135.0,2,0,0,0.0
NA_Kosovo,Kosovo,42.602636,20.902977,2,0,0,0.0
NA_Burma,Burma,21.9162,95.956,2,0,0,0.0
Anguilla,United Kingdom,18.2206,-63.0686,2,0,0,0.0
British Virgin Islands,United Kingdom,18.4207,-64.64,2,0,0,0.0
Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,2,0,0,0.0
NA_MS Zaandam,MS Zaandam,0.0,0.0,2,0,0,0.0
NA_Botswana,Botswana,-22.3285,24.6849,2,0,0,0.0
NA_Burundi,Burundi,-3.3731,29.9189,2,0,0,0.0
NA_Sierra Leone,Sierra Leone,8.460555000000001,-11.779889,2,0,0,0.0
NA_Malawi,Malawi,-13.254307999999998,34.301525,2,0,0,0.0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2,0,0,0.0
Saint Pierre and Miquelon,France,46.8852,-56.3159,2,0,0,0.0
NA_South Sudan,South Sudan,6.8770000000000024,31.307,2,0,0,0.0
NA_Western Sahara,Western Sahara,24.2155,-12.8858,2,0,0,0.0
NA_Sao Tome and Principe,Sao Tome and Principe,0.18636,6.613081,2,0,0,0.0
NA_Yemen,Yemen,15.552726999999999,48.516388,2,0,0,0.0
NA_Afghanistan,Afghanistan,33.0,65.0,3,0,0,0.0
NA_Albania,Albania,41.1533,20.1683,3,0,0,0.0
NA_Algeria,Algeria,28.0339,1.6596,3,0,0,0.0
NA_Andorra,Andorra,42.5063,1.5218,3,0,0,0.0
NA_Angola,Angola,-11.2027,17.8739,3,0,0,0.0
NA_Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,3,0,0,0.0
NA_Argentina,Argentina,-38.4161,-63.6167,3,0,0,0.0
NA_Armenia,Armenia,40.0691,45.0382,3,0,0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,3,0,0,0.0
New South Wales,Australia,-33.8688,151.2093,3,0,0,1.4
Northern Territory,Australia,-12.4634,130.8456,3,0,0,0.0
Queensland,Australia,-28.0167,153.4,3,0,0,0.2
South Australia,Australia,-34.9285,138.6007,3,0,0,0.0
Tasmania,Australia,-41.4545,145.9707,3,0,0,0.0
Victoria,Australia,-37.8136,144.9631,3,0,0,0.6
Western Australia,Australia,-31.9505,115.8605,3,0,0,0.0
NA_Austria,Austria,47.5162,14.5501,3,0,0,0.0
NA_Azerbaijan,Azerbaijan,40.1431,47.5769,3,0,0,0.0
NA_Bahamas,Bahamas,25.0343,-77.3963,3,0,0,0.0
NA_Bahrain,Bahrain,26.0275,50.55,3,0,0,0.0
NA_Bangladesh,Bangladesh,23.685,90.3563,3,0,0,0.0
NA_Barbados,Barbados,13.1939,-59.5432,3,0,0,0.0
NA_Belarus,Belarus,53.7098,27.9534,3,0,0,0.0
NA_Belgium,Belgium,50.8333,4.0,3,0,0,0.0
NA_Benin,Benin,9.3077,2.3158,3,0,0,0.0
NA_Bhutan,Bhutan,27.5142,90.4336,3,0,0,0.0
NA_Bolivia,Bolivia,-16.2902,-63.5887,3,0,0,0.0
NA_Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,3,0,0,0.0
NA_Brazil,Brazil,-14.235,-51.9253,3,0,0,0.0
NA_Brunei,Brunei,4.5353,114.7277,3,0,0,0.0
NA_Bulgaria,Bulgaria,42.7339,25.4858,3,0,0,0.0
NA_Burkina Faso,Burkina Faso,12.2383,-1.5616,3,0,0,0.0
NA_Cabo Verde,Cabo Verde,16.5388,-23.0418,3,0,0,0.0
NA_Cambodia,Cambodia,11.55,104.9167,3,0,0,0.4
NA_Cameroon,Cameroon,3.8480000000000003,11.5021,3,0,0,0.0
Alberta,Canada,53.9333,-116.5765,3,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,3,0,0,0.2
Grand Princess,Canada,37.6489,-122.6655,3,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,3,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,3,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,3,0,0,0.0
